"","Date_Time","Species","Ind","Rec","TRJ","Exp","Session","GS","Sex","ExT","Traj_num","T","RH","c","ta_mic","t_emit","Raw_X","Raw_Y","Raw_Z","Int01_X","Int01_Y","Int01_Z","Int01_angle2mic","Int01_speed","Int01_vel2mic","dur_Th12","dur_E12","FS_Th12","FS_E12","F_MAmp_Th12","F_MAmp_E12","PF_Th12","PF_E12","FE_Th12","FE_E12","LF12_Th12","LF12_E12","HF12_Th12","HF12_E12","peSL_dB_Th12","peSL_dB_E12","rmsSL_Th12","rmsSL_E12","SNR_Th12","SNR_E12","rmsSL_Th12_10cm","rmsSL_E12_10cm","E1","E2","BW","Harmonic","Q_0.75","Q_0.9","PC","Mean_dur_E12","Mean_PF_E12","Mean_LF12_E12","Mean_rmsSL_E12","AAFp","AAmeanFp","AALoF12","AAmeanLoF12","RHfix","thrDur2","avrgDD","realDD2","realDD","frqDD","rmsDD","durDD","TG"
"3523",2020-02-19 23:42:09,"M.oxyotus","095","1","1","2","2020-02-19_003","M.oxyotus","H","21","2",21.7,80.9,345.7,2.6202,2.6137,0.59,2.11,1.9,0.59,2.11,1.9,36.37,3.1,2.51,2.9,2.1,94.65,84.55,73,73,73.25,73.25,94.85,50.64,44750,46000,117250,117250,99.9,99.9,92.5,93.4,20.56,21.9,112.5,113.4,117.124,116.6222,71.25,"1st",108.775,111.25,"Si",1.71428571428571,61.4642857142857,45000,89,-3.00910571894361,-2.3695116178211,-1.54020188978888,-1.48790391805706,"real",18.65,0.76,0.94,0.89,0.73,0.94,0.81,30
"3528",2020-02-19 23:42:09,"M.oxyotus","095","1","2","2","2020-02-19_003","M.oxyotus","H","21","2",21.7,80.9,345.7,6.0317,6.0241,-0.58,2.56,1.69,-0.58,2.56,1.69,23.07,4.02,3.7,2.5,1.8,97.65,83.66,71.91,71.91,54,54,91.78,95.15,43250,43750,116500,116500,94.8,94.8,88.8,89.7,20.56,21.9,108.8,109.7,112.7794,112.2527,72.75,"1st",105.35,107.96,"Si",1.71428571428571,61.4642857142857,45000,89,-1.96594553070966,-2.3695116178211,-1.42292929055502,-1.48790391805706,"real",19.7,0.76,0.82,0.81,0.78,0.79,0.77,30
"3533",2020-02-20 00:07:54,"M.oxyotus","095","1","1","3","2020-02-19_005","M.oxyotus","H","24","2",24.6,72.9,347.3,0.7789,0.7728,0.91,1.91,1.17,0.91,1.91,1.17,0,3.19,3.19,2.7,1.9,96.03,83.57,71.09,71.09,58.25,58.25,93.72,97.68,43750,45000,120750,120500,90.5,90.5,84.8,85.9,20.78,21.77,104.8,105.9,109.1136,108.6875,75.5,"1st",103.475,104.8,"Si",1.71428571428571,61.4642857142857,45000,89,-2.24575413111033,-2.4303374277344,-1.50346218318748,-1.50346218318748,"real",19.35,0.76,0.68,0.66,0.77,0.65,0.78,30
"3540",2020-02-20 00:07:54,"M.oxyotus","095","1","2","3","2020-02-19_005","M.oxyotus","H","24","2",24.6,72.9,347.3,7.7708,7.7664,-0.5,1.3,0.73,-0.5,1.3,0.73,19.11,3.05,2.9,2.2,1.5,87.25,79.22,67.75,67.75,69.5,69.5,94.75,49.74,44750,46000,117250,117250,88.2,88.2,82.7,83.9,20.78,21.77,102.7,103.9,106.1242,105.6609,71.25,"1st",103.6,103.78,"Si",1.71428571428571,61.4642857142857,45000,89,-2.89472407280509,-2.4303374277344,-1.55784320823364,-1.50346218318748,"real",20.75,0.76,0.55,0.58,0.73,0.59,0.73,30
"3543",2020-02-20 00:08:08,"M.oxyotus","095","2","1","3","2020-02-19_005","M.oxyotus","H","24","2",24.6,72.9,347.3,0.7223,0.7145,-0.51,2.65,1.02,-0.51,2.65,1.02,0,3.37,3.37,2.8,2,97.5,86.25,71.56,71.56,73,73,95.74,102.78,44000,45000,118750,118250,92.4,92.4,86.4,87.3,26.69,27.62,106.4,107.3,110.8716,110.3103,73.25,"1st",104.325,105.95,"Si",1.71428571428571,61.4642857142857,45000,89,-3.09760386833056,-2.4303374277344,-1.50346218318748,-1.50346218318748,"real",19,0.76,0.7,0.67,0.72,0.7,0.79,30
"3550",2020-02-20 00:08:08,"M.oxyotus","095","2","2","3","2020-02-19_005","M.oxyotus","H","24","2",24.6,72.9,347.3,7.1793,7.1757,0.82,0.72,1.92,0.82,0.72,1.92,47.97,2.58,1.71,2.5,1.8,95.01,83,105.9,105.9,52,52,92.05,94.75,42750,43250,118000,118000,88.4,88.4,83.4,84.3,26.69,27.62,103.4,104.3,107.3794,106.8527,74.75,"1st",102.95,103.76,"Si",1.71428571428571,61.4642857142857,45000,89,-1.89069656523784,-2.4303374277344,-1.40922966193613,-1.50346218318748,"real",19.7,0.76,0.63,0.62,0.79,0.6,0.77,30
"3553",2020-02-20 00:09:08,"M.oxyotus","095","3","1","3","2020-02-19_005","M.oxyotus","H","24","1",24.6,72.7,347.3,3.5851,3.5795,0.84,1.69,1.83,0.84,1.69,1.83,17.02,3.04,2.9,2.4,1.9,96.56,88.39,55.74,55.74,53.75,53.75,92.41,95.66,43000,43750,118000,117750,86.3,86.3,80.9,81.6,22.79,24.05,100.9,101.6,104.7021,104.3875,74,"1st",101.45,101.54,"Si",1.71428571428571,61.4642857142857,45000,89,-1.99104355691694,-2.43159183163446,-1.43775033468305,-1.50519169281037,"real",19.35,0.76,0.56,0.54,0.78,0.53,0.78,30
"3559",2020-02-20 00:10:03,"M.oxyotus","095","4","1","3","2020-02-19_005","M.oxyotus","H","24","2",24.5,72.8,347.3,1.9887,1.9858,0.55,0.68,0.85,0.55,0.68,0.85,16.18,2.92,2.8,2.4,1.8,96.39,85.89,58.75,58.75,57.25,57.25,94.12,44.33,43500,44500,117500,117500,83.8,83.8,78.1,79,27.43,28.75,98.1,99,101.9021,101.5527,73,"1st",98.35,98.74,"Si",1.71428571428571,61.4642857142857,45000,89,-2.18965912643405,-2.43061352160094,-1.47907921526923,-1.50609775212081,"real",19.7,0.76,0.47,0.47,0.77,0.46,0.77,30
"3560",2020-02-20 00:10:03,"M.oxyotus","095","4","2","3","2020-02-19_005","M.oxyotus","H","24","2",24.5,72.8,347.3,4.1719,4.1669,0.82,1.35,0.64,0.82,1.35,0.64,28.99,3.09,2.71,2.4,1.8,95.85,88.09,67.96,67.96,58.25,58.25,94.54,49.4,44000,45250,119500,119250,86.5,86.5,80.7,81.6,27.43,28.75,100.7,101.6,104.5021,104.1527,74,"1st",100.65,101.22,"Si",1.71428571428571,61.4642857142857,45000,89,-2.246677206603,-2.43061352160094,-1.51964199526467,-1.50609775212081,"real",19.7,0.76,0.54,0.53,0.77,0.53,0.77,30
"3563",2020-02-20 00:10:16,"M.oxyotus","095","5","1","3","2020-02-19_005","M.oxyotus","H","24","1",24.5,72.8,347.3,8.3696,8.3631,-0.15,2.26,1.33,-0.15,2.26,1.33,10.81,3.16,3.1,2.9,2.2,97.01,83.2,73.95,73.95,52.25,52.5,93.75,95.46,43000,43250,118750,118500,92.8,92.8,87.1,87.9,23.8,25.02,107.1,107.9,111.724,111.3242,75.25,"1st",104.95,106.65,"Si",1.71428571428571,61.4642857142857,45000,89,-1.92071794262801,-2.43061352160094,-1.41196158397691,-1.50609775212081,"real",18.3,0.76,0.81,0.75,0.79,0.72,0.82,30
"3569",2020-02-20 00:10:26,"M.oxyotus","095","6","1","3","2020-02-19_005","M.oxyotus","H","24","1",24.5,72.8,347.3,5.3325,5.3254,-0.72,2.25,2.08,-0.72,2.25,2.08,10.65,3.15,3.1,2.4,1.8,97.28,91.85,73.25,73.25,54,54.25,58.73,49.75,44500,45250,120250,120250,89.5,89.5,83.9,84.7,17.73,19.05,103.9,104.7,107.7021,107.2527,75,"1st",103.05,104.34,"Si",1.71428571428571,61.4642857142857,45000,89,-2.01938327973157,-2.43061352160094,-1.51964199526467,-1.50609775212081,"real",19.7,0.76,0.64,0.63,0.78,0.61,0.77,30
"3581",2020-02-21 22:18:50,"M.riparius","099","1","1","1","2020-02-21_001","M.riparius","H","19","2",19.2,85.6,344.2,4.5592,4.5563,0.41,0.64,2.01,0.41,0.64,2.01,39.66,2.35,1.81,2.1,1.5,118.44,109.42,103.94,103.94,69,81,64.72,66.5,60250,61750,117750,113500,95.6,95.6,89.6,90.4,31.24,32.05,109.6,110.4,112.8222,112.1609,51.75,"1st",108.725,109.7,"Si",1.62857142857143,74.3571428571429,60464.2857142857,92.6571428571429,-3.29014136293378,-2.95911968378621,-2.32822167634545,-2.26356674427973,"real",20.4736842105263,0.86,0.74,0.76,0.84,0.78,0.84,30
"3584",2020-02-21 22:18:50,"M.riparius","099","1","2","1","2020-02-21_001","M.riparius","H","19","2",19.2,85.6,344.2,9.1143,9.1068,0.69,2.44,1.9,0.69,2.44,1.9,21.95,2.81,2.6,2.4,1.8,117.08,108.05,104.45,104.45,68.25,70.25,63.1,64.9,59000,60250,116750,112250,95.2,95.2,89.6,90.3,31.24,32.05,109.6,110.3,113.4021,112.8527,52,"1st",110.1,110.22,"Si",1.62857142857143,74.3571428571429,60464.2857142857,92.6571428571429,-2.75415197218283,-2.95911968378621,-2.25278568958625,-2.26356674427973,"real",19.3684210526316,0.86,0.81,0.79,0.88,0.77,0.89,30
"3588",2020-02-21 22:19:00,"M.riparius","099","2","1","1","2020-02-21_001","M.riparius","H","19","2",19.2,85.6,344.2,4.2634,4.2551,0.72,2.71,1.8,0.72,2.71,1.8,15.89,2.83,2.7,2.2,1.7,117.37,108.87,104.5,104.5,68.75,81.75,64.02,66,59500,61000,118000,113750,96.8,96.8,90.6,91.3,25.86,26.42,110.6,111.3,114.0242,113.6045,52.75,"1st",110.1,110.75,"Si",1.62857142857143,74.3571428571429,60464.2857142857,92.6571428571429,-3.32752169404465,-2.95911968378621,-2.29051297586821,-2.26356674427973,"real",19.7368421052632,0.86,0.8,0.79,0.84,0.81,0.87,30
"3594",2020-02-21 22:19:00,"M.riparius","099","2","2","1","2020-02-21_001","M.riparius","H","19","2",19.2,85.6,344.2,9.8263,9.8196,0.44,2.17,1.92,0.44,2.17,1.92,13.54,2.69,2.6,2.1,1.6,118.3,109.83,103.39,103.39,68.25,71.75,63.66,65.35,59000,60250,118500,113500,99.9,99.9,94,94.8,25.86,26.42,114,114.8,117.2222,116.8412,53.25,"1st",113.675,114.35,"Si",1.62857142857143,74.3571428571429,60464.2857142857,92.6571428571429,-2.82905904028474,-2.95911968378621,-2.25278568958625,-2.26356674427973,"real",20.1052631578947,0.86,0.95,0.96,0.87,0.95,0.86,30
"3601",2020-02-21 22:19:10,"M.riparius","099","3","1","1","2020-02-21_001","M.riparius","H","19","1",19.2,85.6,344.2,5.1998,5.1941,0.11,1.88,1.77,0.11,1.88,1.77,33.27,2.66,2.21,2.3,1.6,118.73,109.65,72.86,72.86,71.75,71.75,62.25,63.72,58000,59750,117750,112250,102.4,102.4,96.1,97.2,26.31,27.08,116.1,117.2,119.7173,119.2412,52.5,"1st",115.525,116.3,"Si",1.62857142857143,74.3571428571429,60464.2857142857,92.6571428571429,-2.82905904028474,-2.95911968378621,-2.22762443208906,-2.26356674427973,"real",20.1052631578947,0.86,1.06,1.06,0.87,1.05,0.86,30
"3608",2020-02-21 22:19:21,"M.riparius","099","4","1","1","2020-02-21_001","M.riparius","H","19","2",19.2,85.6,344.2,7.1206,7.1124,-0.45,2.78,1.72,-0.45,2.78,1.72,0,3.07,3.07,1.9,1.5,115.59,107.35,72.84,72.84,72,72.25,64.51,66,60500,61500,114250,109250,100.9,100.9,93.4,94,21.45,22.54,113.4,114,116.1875,115.7609,47.75,"1st",113.5,113.8,"Si",1.62857142857143,74.3571428571429,60464.2857142857,92.6571428571429,-2.85401435218804,-2.95911968378621,-2.31565423980806,-2.26356674427973,"real",20.4736842105263,0.86,0.9,0.92,0.87,0.92,0.84,30
"3612",2020-02-21 22:19:21,"M.riparius","099","4","2","1","2020-02-21_001","M.riparius","H","19","2",19.2,85.6,344.2,0.2311,0.2264,-0.12,1.59,1.59,-0.12,1.59,1.59,40.26,2.5,1.91,2.2,1.7,112.89,104.47,72.8,72.8,67.25,71.75,62.96,63.75,58000,58750,111250,107000,97.3,97.3,90,90.6,21.45,22.54,110,110.6,113.4242,112.9045,48.25,"1st",109.15,110.02,"Si",1.62857142857143,74.3571428571429,60464.2857142857,92.6571428571429,-2.82905904028474,-2.95911968378621,-2.17728049482629,-2.26356674427973,"real",19.7368421052632,0.86,0.8,0.79,0.87,0.79,0.87,30
"3618",2020-02-21 22:29:53,"M.keaysi","100","1","1","1","2020-02-21_002","M.keaysi","M","19","2",19.3,86.6,344.3,2.1849,2.1783,0.31,2.22,1.64,0.31,2.22,1.64,42.83,3.04,2.21,2.5,1.9,114.64,105.31,73,73,67,67.75,64.74,64.5,59000,59500,112000,108250,98.5,98.5,91.4,92.1,16.25,17.07,111.4,112.1,115.3794,114.8875,48.75,"1st",110.725,111.61,"Si",1.4,72.2,61500,94.16,-2.63375129858188,-2.85884841480092,-2.21494714869482,-2.31663835755848,"real",17.8571428571429,0.93,0.95,0.86,0.95,0.85,1.02,30
"3623",2020-02-21 22:29:53,"M.keaysi","100","1","2","1","2020-02-21_002","M.keaysi","M","19","2",19.3,86.6,344.3,6.5293,6.5191,-0.47,3.43,1.77,-0.47,3.43,1.77,34.8,2.81,2.3,1.9,1.4,117.55,108.75,72.9,72.9,73.25,73.5,65,66.26,60750,62000,117000,112750,99.3,99.3,93.3,94,16.25,17.07,113.3,114,116.0875,115.4613,50.75,"1st",112.575,113.58,"Si",1.4,72.2,61500,94.16,-2.92451665468095,-2.85884841480092,-2.3420475446553,-2.31663835755848,"real",20,0.93,0.92,0.92,0.92,0.92,0.93,30
"3633",2020-02-21 22:30:02,"M.keaysi","100","2","1","1","2020-02-21_002","M.keaysi","M","19","2",19.3,86.6,344.3,2.2213,2.2154,0.62,1.62,2.37,0.62,1.62,2.37,31.39,2.44,2.1,1.5,1.1,119.05,109.5,103.27,103.27,75.25,75.25,64.75,67.5,61000,63250,118250,114250,97.9,97.9,92.4,93.4,18.71,20.38,112.4,113.4,114.1609,113.8139,51,"1st",113.25,113.34,"Si",1.4,72.2,61500,94.16,-3.01286866513458,-2.85884841480092,-2.40554255767762,-2.31663835755848,"real",21.2857142857143,0.93,0.84,0.89,0.92,0.9,0.88,30
"3636",2020-02-21 22:30:02,"M.keaysi","100","2","2","1","2020-02-21_002","M.keaysi","M","19","2",19.3,86.6,344.3,6.4981,6.4889,0.3,3.11,1.74,0.3,3.11,1.74,31.13,2.81,2.4,1.8,1.3,117.39,107.89,72.76,72.76,72,72.25,64.23,65.48,60250,61500,116000,111000,102.1,102.1,95.3,96.1,18.71,20.38,115.3,116.1,117.8527,117.2394,49.5,"1st",114.65,115.45,"Si",1.4,72.2,61500,94.16,-2.86137476462082,-2.85884841480092,-2.31663835755848,-2.31663835755848,"real",20.4285714285714,0.93,0.99,1.01,0.93,1.01,0.91,30
"3643",2020-02-21 22:30:24,"M.keaysi","100","4","1","1","2020-02-21_002","M.keaysi","M","19","1",19.3,86.6,344.3,3.7195,3.7131,0.12,2.12,1.99,0.12,2.12,1.99,31.31,3.07,2.61,1.9,1.3,118.14,108,72.85,72.85,71.75,72.25,64.24,65.48,59750,61250,116250,111000,99.8,99.8,94.2,95.2,28.47,29.92,114.2,115.2,116.9875,116.3394,49.75,"1st",114.825,115.05,"Si",1.4,72.2,61500,94.16,-2.86137476462082,-2.85884841480092,-2.3039315358543,-2.31663835755848,"real",20.4285714285714,0.93,0.95,0.97,0.93,0.97,0.91,30
"3645",2020-02-21 22:35:10,"M.keaysi","101","1","1","1","2020-02-21_003","M.keaysi","M","19","2",19.3,87.1,344.3,2.3971,2.3888,0.36,2.84,1.69,0.36,2.84,1.69,29.92,3.58,3.11,2.7,2.1,109.79,96.8,72.32,72.32,64,64.25,61.5,61.5,56000,56250,104750,95750,96.7,96.7,90,90.7,20.71,21.92,110,110.7,114.3136,113.9222,39.5,"1st",109.25,110.12,"Si",1.89285714285714,67.3571428571429,57982.1428571429,93.5071428571429,-2.45596644485123,-2.61404371486969,-2.04803240474776,-2.13641250107446,"real",19.3433962264151,0.92,0.85,0.82,0.93,0.81,0.95,30
"3648",2020-02-21 22:35:10,"M.keaysi","101","1","2","1","2020-02-21_003","M.keaysi","M","19","2",19.3,87.1,344.3,6.5471,6.5375,-0.4,3.26,1.72,-0.4,3.26,1.72,19.24,3.29,3.1,2.7,2.1,110,96.82,72.17,72.17,64.5,65.5,61.25,61.75,56250,56750,106000,98500,97.9,97.9,91.1,91.8,20.71,21.92,111.1,111.8,115.4136,115.0222,41.75,"1st",108.725,110.35,"Si",1.89285714285714,67.3571428571429,57982.1428571429,93.5071428571429,-2.51959251551701,-2.61404371486969,-2.07354298623773,-2.13641250107446,"real",19.3433962264151,0.92,0.88,0.86,0.93,0.85,0.95,30
"3654",2020-02-21 22:35:19,"M.keaysi","101","2","1","1","2020-02-21_003","M.keaysi","M","19","2",19.3,87.1,344.3,2.0341,2.0242,-0.48,3.35,1.67,-0.48,3.35,1.67,17.35,3.14,3,2.6,2,116.7,105.96,72.9,72.9,65,65.5,62,62.6,57000,57500,114000,109250,97.4,97.4,91.9,92.6,23.27,24.2,111.9,112.6,116.0497,115.6103,51.75,"1st",112,112.56,"Si",1.89285714285714,67.3571428571429,57982.1428571429,93.5071428571429,-2.51959251551701,-2.61404371486969,-2.11181122246081,-2.13641250107446,"real",19.6603773584906,0.92,0.9,0.89,0.93,0.88,0.94,30
"3655",2020-02-21 22:35:19,"M.keaysi","101","2","1","1","2020-02-21_003","M.keaysi","M","19","2",19.3,87.1,344.3,2.104,2.0948,-0.39,3.15,1.64,-0.39,3.15,1.64,14.74,3.11,3,2.4,1.9,111.5,104.47,72.3,72.3,70.75,71,62.79,63.71,58250,59250,111250,105750,102.2,102.2,94.1,94.7,23.27,24.2,114.1,114.7,117.9021,117.4875,46.5,"1st",112,112.56,"Si",1.89285714285714,67.3571428571429,57982.1428571429,93.5071428571429,-2.79904307405426,-2.61404371486969,-2.20109980973454,-2.13641250107446,"real",19.977358490566,0.92,0.96,0.96,0.91,0.97,0.92,30
"3669",2020-02-21 22:35:19,"M.keaysi","101","2","2","1","2020-02-21_003","M.keaysi","M","19","2",19.3,87.1,344.3,6.6881,6.6803,-0.34,2.65,1.63,-0.34,2.65,1.63,26.58,3.06,2.7,2.6,2,114.3,104.98,80.84,80.84,64.5,65,62.51,63,57000,57500,112750,107750,100.9,100.9,94.6,95.2,23.27,24.2,114.6,115.2,118.7497,118.2103,50.25,"1st",114.5,114.92,"Si",1.89285714285714,67.3571428571429,57982.1428571429,93.5071428571429,-2.49414712561592,-2.61404371486969,-2.11181122246081,-2.13641250107446,"real",19.6603773584906,0.92,1.02,1,0.93,0.99,0.94,30
"3674",2020-02-21 22:35:28,"M.keaysi","101","3","1","1","2020-02-21_003","M.keaysi","M","19","2",19.3,87.1,344.3,3.1366,3.1295,0.43,2.35,1.88,0.43,2.35,1.88,26.59,3.14,2.8,2.3,1.8,112.94,103.47,72.25,72.25,66.5,67.75,62.25,63,57500,58250,111000,106500,98.6,98.6,91.7,92.5,23.9,24.84,111.7,112.5,115.3173,115.0527,48.25,"1st",112.275,112.41,"Si",1.89285714285714,67.3571428571429,57982.1428571429,93.5071428571429,-2.63401155361647,-2.61404371486969,-2.15007963414706,-2.13641250107446,"real",20.2943396226415,0.92,0.87,0.88,0.92,0.88,0.91,30
"3676",2020-02-21 22:35:28,"M.keaysi","101","3","2","1","2020-02-21_003","M.keaysi","M","19","2",19.3,87.1,344.3,7.6097,7.6019,0.7,2.51,1.81,0.7,2.51,1.81,17.93,2.94,2.8,2.2,1.6,114.45,106.31,72.11,72.11,71,71.25,62.75,64.04,58500,60000,113750,109750,100,100,93.2,94,23.9,24.84,113.2,114,116.6242,116.0412,49.75,"1st",113.4,113.8,"Si",1.89285714285714,67.3571428571429,57982.1428571429,93.5071428571429,-2.81172693494062,-2.61404371486969,-2.23935858815651,-2.13641250107446,"real",20.9283018867925,0.92,0.89,0.93,0.91,0.94,0.88,30
"3688",2020-02-21 22:35:38,"M.keaysi","101","4","1","1","2020-02-21_003","M.keaysi","M","19","1",19.4,87.2,344.3,3.5654,3.5607,-0.07,1.53,1.84,-0.07,1.53,1.84,27.77,3.28,2.81,2.2,1.7,113.88,104.15,72.16,72.16,67,69.5,63.24,64,58250,58750,113500,108250,102.8,102.8,96,96.7,21.91,22.75,116,116.7,119.4242,119.0045,49.5,"1st",115.7,116.3,"Si",1.89285714285714,67.3571428571429,57982.1428571429,93.5071428571429,-2.72692460252553,-2.61746843843338,-2.17678939570021,-2.13742882708944,"real",20.611320754717,0.92,1.02,1.05,0.91,1.06,0.9,30
"3693",2020-02-21 23:08:59,"M.riparius","099","2","1","2","2020-02-21_006","M.riparius","H","22","1",22.2,81,346,4.5191,4.5122,0.17,2.37,1.22,0.17,2.37,1.22,34.08,2.95,2.41,2.9,2.2,113.25,104.29,73.26,73.26,67,67.75,63,63.75,58250,59000,111000,105750,96.4,96.4,89.6,90.3,15.32,16.12,109.6,110.3,114.224,113.7242,46.75,"1st",109.6,110.02,"Si",1.62857142857143,74.3571428571429,60464.2857142857,92.6571428571429,-2.72201148189709,-3.08852703243185,-2.2379260899429,-2.31870068376484,"real",17.8947368421053,0.85,0.87,0.79,0.88,0.77,0.94,30
"3700",2020-02-21 23:10:11,"M.riparius","099","3","1","2","2020-02-21_006","M.riparius","H","22","2",22.4,80.4,346.1,3.8343,3.8287,-0.11,1.93,1.11,-0.11,1.93,1.11,42.35,2.71,2.01,3.1,2.4,115.25,104.15,80.15,80.15,65.25,65.75,62.5,63.25,57500,58000,111750,106000,103.4,103.4,97,97.5,22.6,23.53,117,117.5,121.9136,121.3021,48,"1st",112.3,114.28,"Si",1.62857142857143,74.3571428571429,60464.2857142857,92.6571428571429,-2.61639794955149,-3.09589437294822,-2.18635744663206,-2.32273919674099,"real",17.1578947368421,0.85,1.24,1.1,0.89,1.05,0.97,30
"3704",2020-02-21 23:10:11,"M.riparius","099","3","2","2","2020-02-21_006","M.riparius","H","22","2",22.4,80.4,346.1,8.2416,8.2332,0.68,2.79,0.86,0.68,2.79,0.86,28.36,2.84,2.5,2.6,1.9,115.87,106.42,80.3,80.3,67,67.75,63.04,64.25,58500,59250,114500,109500,98.6,98.6,92.3,93.1,22.6,23.53,112.3,113.1,116.4497,115.8875,50.25,"1st",111.05,112.47,"Si",1.62857142857143,74.3571428571429,60464.2857142857,92.6571428571429,-2.72774197763162,-3.09589437294822,-2.25547996327273,-2.32273919674099,"real",19,0.85,0.94,0.9,0.88,0.87,0.89,30
"3714",2020-02-21 23:10:22,"M.riparius","099","4","1","2","2020-02-21_006","M.riparius","H","22","2",22.4,80.4,346.1,2.5867,2.5795,-0.69,2.4,1.05,-0.69,2.4,1.05,11.44,2.96,2.9,2.3,1.7,118.13,109.23,72.59,72.59,70.5,71,102.78,65.53,60000,61000,117250,112250,98.8,98.8,92.9,93.9,17.34,18,112.9,113.9,116.5173,116.2045,51.25,"1st",110.7,112.4,"Si",1.62857142857143,74.3571428571429,60464.2857142857,92.6571428571429,-2.90879830751844,-3.09589437294822,-2.35244267846351,-2.32273919674099,"real",19.7368421052632,0.85,0.93,0.91,0.87,0.9,0.86,30
"3720",2020-02-21 23:10:22,"M.riparius","099","4","2","2","2020-02-21_006","M.riparius","H","22","2",22.4,80.4,346.1,7.6564,7.6488,0.22,2.61,1.21,0.22,2.61,1.21,33.75,2.89,2.4,2.9,2.2,111.5,102.5,73.82,73.82,65.25,65.75,62,63,57250,57750,110000,102750,103.5,103.5,96.9,97.7,17.34,18,116.9,117.7,121.524,121.1242,45,"1st",112,115.66,"Si",1.62857142857143,74.3571428571429,60464.2857142857,92.6571428571429,-2.61639794955149,-3.09589437294822,-2.17254875768283,-2.32273919674099,"real",17.8947368421053,0.85,1.21,1.11,0.89,1.06,0.94,30
"3732",2020-02-21 23:12:16,"M.keaysi","100","1","1","2","2020-02-21_007","M.keaysi","M","22","2",22.2,80.1,345.9,3.8899,3.8844,-0.27,1.87,1.39,-0.27,1.87,1.39,11.09,2.96,2.9,2.5,1.8,119,108.43,73.55,73.55,70.25,71.75,64.25,65.5,59750,61250,116500,111000,101.4,101.4,95.1,96.1,17.74,18.69,115.1,116.1,119.0794,118.6527,49.75,"1st",114.3,114.75,"Si",1.4,72.2,61500,94.16,-2.94481496519956,-2.96962964169316,-2.36613939108963,-2.37989154176448,"real",18.2857142857143,0.92,1.08,1,0.92,1,0.99,30
"3741",2020-02-21 23:12:16,"M.keaysi","100","1","2","2","2020-02-21_007","M.keaysi","M","22","2",22.2,80.1,345.9,8.9767,8.9716,0.12,1.72,1.72,0.12,1.72,1.72,29.2,2.51,2.2,2.6,1.9,119.25,110.39,73.35,73.35,73.25,73.25,64,64.97,59250,60750,118250,112250,101.2,101.2,94.6,95.5,17.74,18.69,114.6,115.5,118.7497,118.2875,51.5,"1st",114.3,114.94,"Si",1.4,72.2,61500,94.16,-3.02752799554433,-2.96962964169316,-2.33864299477047,-2.37989154176448,"real",17.8571428571429,0.92,1.06,0.97,0.92,0.98,1.01,30
"3752",2020-02-21 23:12:27,"M.keaysi","100","2","1","2","2020-02-21_007","M.keaysi","M","22","1",22.2,80.1,345.9,3.5003,3.4961,0,1.43,1.6,0,1.43,1.6,28.75,2.75,2.41,2.7,2,116.81,106.15,73.01,73.01,73.25,73.25,64.25,64.73,59500,60750,115750,108500,103.9,103.9,95.8,96.5,22.67,23.56,115.8,116.5,120.1136,119.5103,47.75,"1st",113.9,116.05,"Si",1.4,72.2,61500,94.16,-3.02752799554433,-2.96962964169316,-2.33864299477047,-2.37989154176448,"real",17.4285714285714,0.92,1.13,1.01,0.92,1.02,1.03,30
"3756",2020-02-21 23:12:42,"M.keaysi","100","3","1","2","2020-02-21_007","M.keaysi","M","22","1",22.1,80,345.9,0.2292,0.224,0.31,1.72,1.76,0.31,1.72,1.76,31.14,2.58,2.2,2.3,1.7,114.78,104.75,73.42,73.42,73.5,73.5,63.75,64.5,58750,59500,113250,107000,102.3,102.3,94.1,94.9,22.29,23.48,114.1,114.9,117.7173,117.2045,47.5,"1st",109.7,112.82,"Si",1.4,72.2,61500,94.16,-3.03766853758487,-2.96634838329869,-2.26985829617515,-2.37935002202375,"real",18.7142857142857,0.92,1,0.95,0.92,0.95,0.97,30
"3766",2020-02-21 23:13:39,"M.keaysi","100","4","1","2","2020-02-21_007","M.keaysi","M","22","1",21.9,80.5,345.8,4.367,4.3616,-0.24,1.83,1.61,-0.24,1.83,1.61,14.24,2.89,2.8,2.3,1.7,117.36,107.09,73.17,73.17,72,72.5,65,65.48,60250,61000,115000,109000,103.4,103.4,95.1,95.7,23.75,24.77,115.1,115.7,118.7173,118.0045,48,"1st",114.7,115.3,"Si",1.4,72.2,61500,94.16,-2.97565832539927,-2.95928565485803,-2.34798022141925,-2.37523963983004,"real",18.7142857142857,0.92,1.04,0.98,0.92,0.99,0.97,30
"3770",2020-02-21 23:20:31,"M.keaysi","101","1","1","2","2020-02-21_008","M.keaysi","M","22","2",21.9,82.1,345.8,3.4757,3.4693,-0.64,2.13,1.27,-0.64,2.13,1.27,18.03,3.79,3.6,2.3,1.8,111.85,100.2,71.5,71.5,69.75,70,62.5,62.75,57750,58500,108750,99000,99.6,99.6,91.7,92.4,34.07,34.96,111.7,112.4,115.3173,114.9527,40.5,"1st",111.2,111.92,"Si",1.89285714285714,67.3571428571429,57982.1428571429,93.5071428571429,-2.83698209980752,-2.6912100754092,-2.20392136697145,-2.1755533542145,"real",20.2943396226415,0.92,0.85,0.86,0.9,0.87,0.9,30
